Short Name,Long Name,x,y,Type of entrance? (Unaccessible or Assisted or Manual)
MNY (W),Meany Hall (W),1632.4,1398.6,A
MOL,Molecular ES,1713,1566,A
MOR,More Hall,2317.1,1859.5,A
MOR (S),More Hall (S),2362,1962,U
MOR (W),More Hall (W),2301,1890,M
MRC,Mercer Court,824,1511,A
MSB,Marine Sciences,1403,2343,A
MSB (E),Marine Sciences (E),1422,2360,M
MSB (N),Marine Sciences (N),1383,2323,M
MUE,Mueller Hall,2292,1940,U
MUE (E),Mueller Hall (E),2310,1962,M
MUE (S),Mueller Hall (S),2285,1988,A
MUS,Music Building,2202.5,957.3,A
MUS (E),Music Building (E),2261.6,1011.4,A
MUS (SE),Music Building (SE),2255.3,1048.2,M
MUS (SW),Music Building (SW),2241,1037,M
NAN,Nano. ES,1779,1507,A
NAN (S),Nano. ES (S),1760,1555,A
NPV,North Physics Lab,2593,626,M
NPV (S),North Physics Lab (S),2568,664,M
NPV (W),North Physics Lab (W),2568,640,M
NTC,Nordstrom Tennis Center,2860,2000,M
OBS,Jacobsen Observatory,1827.5,522,A
OCE,Oceanography,1630,2481,A
OCE (E),Oceanography (E),1675,2482,A
OCN,Ocean Sciences,1434,2164,A
OCN (W),Ocean Sciences (W),1388,2112,A
OR2,Ocean Research Building,1217,1923,M
OTB,Ocean Teaching,1462,2300,A
OTB (S),Ocean Teaching (S),1429,2329,A
OTB (W),Ocean Teaching (W),1447,2288,U
OUG,Odegaard Library,1723,1228,A
PAA,Physics/Astronomy Auditorium,1625.2,1783.5,A
PAB,Physics/Astronomy Building,1626,1726,A
PAB (N),Physics/Astronomy Building (N),1560.6,1698.3,A
PAB (SW),Physics/Astronomy Building (SW),1559,1726,M
PAR,Parrington Hall,1715.3,1060.4,U
PAR (N),Parrington Hall (N),1699,1023,A
PAT,Physics/Astronomy Tower,1538.4,1761.1,A
PBB,Portage Bay Building,1762,2543,A
PBB (W),Portage Bay Building (W),1737,2523,M
PCAR,Paccar Hall,1943,786,A
PCAR (E),Paccar Hall (E),1916,723,A
PCAR (N),Paccar Hall (N),1856,698,A
PCAR (SE),Paccar Hall (SE),1957,763,A
PCH,Purchasing and Accounting Building,1325,1558,A
PDL,Padelford,2408,1103.7,A
PDL (N),Padelford (N),2436.3,1064.7,M
PDL (SW),Padelford (SW),2375.8,1169.9,U
PHT,Playhouse Theater,1298,1156,A
POP,Poplar Hall,1235,1232,A
POP (N),Poplar Hall (N),1263,1158,M
RAI,Raitt Hall,2094.2,956.9,U
RAI (S),Raitt Hall (S),2024.5,993,U
RAI (W),Raitt Hall (W),2029,963,A
RAX,Roberts Annex,2406,1978,M
ROB,Roberts Hall,2309.4,1979,A
ROB (E),Roberts Hall (E),2343,1975,M
SAV,Savery Hall,1951.8,1094.7,U
SAV (N),Savery Hall (N),1951,1041.1,U
SAV (NE),Savery Hall (NE),1977.1,1031.5,U
SAV (NW),Savery Hall (NW),1908.9,1089,A
SAV (S),Savery Hall (S),1930,1160,A
SAV (SE),Savery Hall (SE),1919.5,1118.5,U
SAV (SW),Savery Hall (SW),1881.6,1133.1,U
SAV (W),Savery Hall (W),1880.3,1106.8,U
SC,Stevens Court,1061.5,1598.4,A
SIG,Sieg,2163.4,1463.9,U
SIG (S),Sieg (S),2174,1488,A
SIG (W),Sieg (W),2101.3,1506.4,M
SMI,Smith Hall,2038.7,1182.1,U
SMI (E),Smith Hall (E),2105,1163,A
SMI (N),Smith Hall (N),2084,1136,A
SMI (NE),Smith Hall (NE),2112.8,1134.8,U
SMI (SE),Smith Hall (SE),2062,1206,M
SMI (SW),Smith Hall (SW),2022.3,1210.9,M
SMZ,Schmitz Hall,1408,1222,A
SMZ (N),Schmitz Hall (N),1409,1159,A
SOCC,South Campus Center,1578,2430,U
SOCC (E),South Campus Center (E),1699,2457,A
SOCC (N),South Campus Center (N),1629,2396,M
SSB,Brooklyn Trail Building,1186,1523,M
STD,Husky Stadium,2574,2151,A
STD (N),Husky Stadium (N),2798,2126,A
STD (S),Husky Stadium Sports Medical Clinic,2670,2443,A
STD (SW),Husky Stadium (SW),2522,2285,A
STD (W),Husky Stadium (W),2532,2201,M
SUZ,Suzzallo Library,1895.8,1325.8,A
SWS,Social Work/Speech & Hearing,1452,1120,A
SWS (E),Social Work/Speech & Hearing (E),1453,1042,A
SWS (N),Social Work/Speech & Hearing (N),1455,959,A
SWS (NE),Social Work/Speech & Hearing (NE),1455,1026,A
TEH,Terry Hall,919,1303,A
TEH (S),Terry Hall (S),891,1385,U
TGB,Graves Hall,2626,1802,M
THO,Thomson Hall,2204,1152,A
TSB,Transportation Services,1304,1222,A
UBS,University Bookstore,1373.6,556.5,M
UBS (E),University Bookstore (E),1440.1,520.8,M
UFB,University Facilities,2443,1454,M
UMSP,UWMC Surgery Pavilion,2270.3,2497.9,A
UMSP (W),UWMC Surgery Pavilion (W),2264,2584,M
UWPD,UW Police Department,1446,1559,A
WCL,Wilson Ceramic Lab,2343,2036,M
WCP,Portage Bay Parking Facility,1232,1781,A
WCP (NE),Portage Bay Parking Facility (NE),1305.1,1761.1,U
WCP (S),Portage Bay Parking Facility (S),1229,1846,A
WCUP,West Campus Utility Plant,1361,1631,U
WFS,Winkenwerder,2087.4,2055.2,U
WFS (S),Winkenwerder (S),2119,2119,M
WFS (W),Winkenwerder (W),2073,2066,M
WIL,Wilcox Hall,2351,1983,M
WIL (E lower),Wilcox Hall (E lower),2375.1,1989.1,M
WIL (E upper),Wilcox Hall (E upper),2372,1985,U
WIL (S),Wilcox Hall (S),2368.4,2051.8,U
WIL (W),Wilcox Hall (W),2364,2026,U
WLA,Wilson Annex,2309,2084,A
WLW,Willow Hall,2350,637,A
